Sample,P,r0,t0,lda0,R,T
1,497.5,47.7,45.5,717.0,0.11586,0.88121
2,520.5,67.0,58.2,434.75,0.09565,0.87405
3,600.3,117.1,58.4,559.48,0.24405,0.67189
4,640.3,82.1,65.4,640.09,0.32347,0.52368
5,512.9,105.3,49.1,785.78,0.71568,0.14317
6,564.7,110.6,89.7,759.22,0.75064,0.1343
7,624.9,57.1,56.7,453.25,0.08762,0.83658
8,457.8,49.4,84.8,729.44,0.10099,0.89577
9,517.3,30.6,77.4,444.71,0.08934,0.87181
10,547.2,45.7,78.6,919.68,0.0934,0.90601
11,482.0,89.8,68.7,625.75,0.26885,0.68033
12,503.8,105.9,61.5,758.01,0.80099,0.05495
13,482.2,117.8,82.8,422.13,0.00245,0.48692
14,646.0,93.6,92.9,665.06,0.17069,0.72248
15,558.2,78.2,73.9,875.25,0.11374,0.88161
16,455.3,97.6,47.9,409.42,0.032,0.82557
17,580.7,106.9,62.1,353.65,0.04842,0.86133
18,563.9,65.7,83.1,960.81,0.09455,0.90378
19,568.9,82.6,83.5,592.05,0.23246,0.54849
20,568.1,94.1,75.0,968.55,0.13178,0.86214
21,469.8,41.4,91.6,679.73,0.10363,0.89311
22,485.0,36.7,64.4,937.57,0.09175,0.90791
23,574.9,53.2,49.4,616.22,0.11383,0.86305
24,481.7,109.1,48.6,434.47,0.05923,0.85059
25,503.9,52.6,42.5,457.96,0.12014,0.84779
26,577.3,33.0,60.8,801.87,0.10622,0.89351
27,452.8,43.2,72.4,773.7,0.10649,0.8922
28,509.7,77.0,94.9,889.34,0.10467,0.8909
29,527.2,31.5,43.7,487.14,0.11489,0.86568
30,628.3,118.2,71.0,348.05,0.00346,0.65441
31,471.1,35.0,88.4,725.64,0.10904,0.89
32,541.5,69.3,80.5,526.75,0.08587,0.6308
33,459.0,75.4,85.8,809.21,0.1127,0.8788
34,525.8,86.0,56.3,374.46,0.05479,0.62572
35,455.8,101.1,92.4,663.71,0.69966,0.1674
36,639.2,34.9,98.0,324.02,0.01568,0.94681
37,481.0,116.8,95.4,668.66,0.55925,0.3619
38,622.2,99.3,97.0,649.03,0.20898,0.63035
39,601.3,74.3,96.8,344.97,0.03714,0.86581
40,480.9,109.4,92.0,910.59,0.23152,0.75329
41,570.7,74.4,90.0,344.48,0.0314,0.83771
42,542.0,111.0,99.2,672.14,0.26264,0.71077
43,535.6,47.3,46.3,951.57,0.09291,0.90658
44,509.5,102.1,54.7,590.44,0.13977,0.84996
45,553.8,82.4,56.2,977.18,0.11589,0.88047
46,518.5,34.5,91.5,724.26,0.10995,0.88924
47,491.7,104.0,51.4,866.45,0.28939,0.68344
48,498.8,101.8,81.6,995.9,0.16602,0.82576
49,605.1,101.5,68.9,577.72,0.36872,0.32114
50,606.9,55.4,96.4,892.3,0.09392,0.905
